text,genre
The detective found a clue at the crime scene. Who was the killer? a was was,Mystery
She looked into his eyes and knew he was the one. Love was in the air. was the the,Romance
She looked into his eyes and knew he was the one. Love was in the air. was the the,Romance
She looked into his eyes and knew he was the one. Love was in the air. was a is,Romance
The detective found a clue at the crime scene. Who was the killer? was is was,Mystery
The spaceship landed on the alien planet. The robots were friendly. a a was,Science Fiction
She looked into his eyes and knew he was the one. Love was in the air. was a the,Romance
The detective found a clue at the crime scene. Who was the killer? the the is,Mystery
The spaceship landed on the alien planet. The robots were friendly. was a the,Science Fiction
The dragon flew over the castle. The wizard cast a spell. was was the,Fantasy
The spaceship landed on the alien planet. The robots were friendly. a a was,Science Fiction
The dragon flew over the castle. The wizard cast a spell. a the is,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. was a the,Romance
The dragon flew over the castle. The wizard cast a spell. was was was,Fantasy
The spaceship landed on the alien planet. The robots were friendly. is the is,Science Fiction
She looked into his eyes and knew he was the one. Love was in the air. a was a,Romance
She looked into his eyes and knew he was the one. Love was in the air. was was is,Romance
The spaceship landed on the alien planet. The robots were friendly. was a was,Science Fiction
The spaceship landed on the alien planet. The robots were friendly. a a a,Science Fiction
The detective found a clue at the crime scene. Who was the killer? was is is,Mystery
The detective found a clue at the crime scene. Who was the killer? a was the,Mystery
The dragon flew over the castle. The wizard cast a spell. a is the,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. is is a,Romance
The dragon flew over the castle. The wizard cast a spell. a a the,Fantasy
The spaceship landed on the alien planet. The robots were friendly. a is was,Science Fiction
The detective found a clue at the crime scene. Who was the killer? the the the,Mystery
She looked into his eyes and knew he was the one. Love was in the air. was the was,Romance
She looked into his eyes and knew he was the one. Love was in the air. was was the,Romance
She looked into his eyes and knew he was the one. Love was in the air. was the the,Romance
She looked into his eyes and knew he was the one. Love was in the air. was was was,Romance
The detective found a clue at the crime scene. Who was the killer? a a a,Mystery
The dragon flew over the castle. The wizard cast a spell. the a the,Fantasy
The detective found a clue at the crime scene. Who was the killer? the the is,Mystery
She looked into his eyes and knew he was the one. Love was in the air. the a was,Romance
The detective found a clue at the crime scene. Who was the killer? was a the,Mystery
She looked into his eyes and knew he was the one. Love was in the air. was the is,Romance
She looked into his eyes and knew he was the one. Love was in the air. is the is,Romance
The dragon flew over the castle. The wizard cast a spell. a a a,Fantasy
The dragon flew over the castle. The wizard cast a spell. is a was,Fantasy
The dragon flew over the castle. The wizard cast a spell. a the a,Fantasy
The detective found a clue at the crime scene. Who was the killer? the is was,Mystery
She looked into his eyes and knew he was the one. Love was in the air. was the a,Romance
The detective found a clue at the crime scene. Who was the killer? was the a,Mystery
The detective found a clue at the crime scene. Who was the killer? the was is,Mystery
The dragon flew over the castle. The wizard cast a spell. a a a,Fantasy
The detective found a clue at the crime scene. Who was the killer? was the is,Mystery
The detective found a clue at the crime scene. Who was the killer? a was is,Mystery
She looked into his eyes and knew he was the one. Love was in the air. is was was,Romance
The detective found a clue at the crime scene. Who was the killer? is the a,Mystery
She looked into his eyes and knew he was the one. Love was in the air. a was a,Romance
The spaceship landed on the alien planet. The robots were friendly. is is a,Science Fiction
The dragon flew over the castle. The wizard cast a spell. is a a,Fantasy
She looked into his eyes and knew he was the one. Love was in the air. is the is,Romance
The spaceship landed on the alien planet. The robots were friendly. a was was,Science Fiction
She looked into his eyes and knew he was the one. Love was in the air. a a was,Romance
The spaceship landed on the alien planet. The robots were friendly. was a the,Science Fiction
